Date,Time,StateCode,Rate,Quantity,Total,RecieptTotal,GasCompany,CostcoNumber
12/13/2021,09:48,MI,2.799,3.424,9.583776,9.58,Costco,393
12/13/2021,15:27,IN,2.949,9.362,27.608538,27.61,Costco,370
12/14/2021,07:28,WI,2.789,9.895,27.597155,27.6,Costco,1121
12/14/2021,15:29,IA,3.07,9.772,30.00004,30,Caseys,
12/15/2021,08:43,MN,2.849,8.469,24.128181,24.13,Costco,1344
12/15/2021,16:40,ND,2.899,9.299,26.957801,26.96,Costco,1119
12/15/2021,20:06,ND,2.829,9.523,26.940567,26.94,Costco,1380
12/16/2021,07:10,MT,3.089,9.396,29.024244,29.02,Town Pump,
12/16/2021,12:00,MT,3.079,8.637,26.593323,26.59,Costco,69
12/16/2021,17:21,MT,3.599,4.171,15.011429,15.01,EXXON,
12/16/2021,20:32,MT,3.289,6.183,20.335887,20.34,Costco,96
12/17/2021,13:52,MT,3.359,7.824,26.280816,26.28,Costco,67
12/17/2021,19:42,WA,3.289,6.401,21.052889,21.05,Costco,103
12/18/2021,12:21,OR,3.779,8.579,32.420041,32.42,Flying J,
12/18/2021,14:52,OR,3.979,6.233,24.801107,24.8,CHEVRON,
12/18/2021,20:33,NV,3.619,5.514,19.955166,19.96,CHEVRON,
12/19/2021,13:54,NV,3.399,10.499,35.686101,35.69,Costco,127
12/19/2021,19:40,NV,3.799,5.265,20.001735,20,CHEVRON,
12/20/2021,08:12,NV,3.759,8.222,30.906498,30.91,Shell,
12/20/2021,13:47,UT,3.669,5.91,21.68379,21.68,MAVERIK,
12/20/2021,17:59,UT,3.289,7.574,24.910886,24.91,Costco,1118
12/21/2021,09:55,WY,3.519,8.198,28.848762,28.85,Conoco,
12/21/2021,16:36,CO,2.959,7.688,22.748792,22.75,Costco,1178
12/22/2021,13:17,KS,3.049,6.723,20.498427,20.5,Cenex,
12/22/2021,18:07,TX,2.69,7.4366,20.004454,20,Phillips 66,
12/22/2021,20:43,NE,3.07,9.045,27.76815,27.77,KWIK STOP,
12/23/2021,10:20,OK,2.549,9.984,25.449216,25.45,Costco,1350
12/23/2021,20:32,MO,2.499,11.795,29.475705,29.48,Costco,1486
12/24/2021,12:54,MO,2.899,8.676,25.151724,25.15,Pilot Travels,
12/24/2021,18:21,TN,2.709,8.861,24.004449,24,Circle K,
12/25/2021,09:12,MS,2.829,7.919,22.402851,22.4,Loves,
12/25/2021,13:33,MS,2.699,8.662,23.378738,23.38,TexCo,
12/25/2021,19:43,AL,2.999,9.552,28.646448,28.65,Loves ,
12/26/2021,12:16,GA,2.799,7.864,22.011336,22.01,Costco,366
12/26/2021,18:07,NC,2.879,7.776,22.387104,22.39,Costco,1333
12/27/2021,08:41,VA,3.099,9.612,29.787588,29.79,Costco,238
12/27/2021,16:56,DE,3.199,8.898,28.464702,28.46,Costco,246
12/28/2021,09:11,CT,3.199,9.622,30.780778,30.78,Costco,1372
12/29/2021,08:31,NH,3.199,9.363,29.952237,29.95,Circle K,
12/29/2021,16:26,NY,3.499,9.001,31.494499,31.49,Stewarts Shop,
12/29/2021,20:59,NY,3.399,8.755,29.758245,29.76,SENECA,
12/30/2021,08:58,OH,2.769,7.303,20.222007,20.22,Costco,343
12/30/2021,13:16,MI,2.799,5.37,15.03063,15.03,Costco,393
