,State,Population,Area
0,California,"3,95,38,223","1,55,779"
1,Texas,"2,91,45,505","2,61,232"
2,Florida,"2,15,38,187","53,625"
3,New York (state),"2,02,01,249","47,126"
4,Pennsylvania,"1,30,02,700","44,743"
5,Illinois,"1,28,12,508","55,519"
6,Ohio,"1,17,99,448","40,861"
7,Georgia,"1,07,11,908","57,513"
8,North Carolina,"1,04,39,388","48,618"
9,Michigan,"1,00,77,331","56,539"
10,New Jersey,"92,88,994","7,354"
11,Virginia,"86,31,393","39,490"
12,Washington (state),"77,05,281","66,456"
13,Arizona,"71,51,502","1,13,594"
14,Massachusetts,"70,29,917","7,800"
15,Tennessee,"69,10,840","41,235"
16,Indiana,"67,85,528","35,826"
17,Maryland,"61,77,224","9,707"
18,Missouri,"61,54,913","68,742"
19,Wisconsin,"58,93,718","54,158"
20,Colorado,"57,73,714","1,03,642"
21,Minnesota,"57,06,494","79,627"
22,South Carolina,"51,18,425","30,061"
23,Alabama,"50,24,279","50,645"
24,Louisiana,"46,57,757","43,204"
25,Kentucky,"45,05,836","39,486"
26,Oregon,"42,37,256","95,988"
27,Oklahoma,"39,59,353","68,595"
28,Connecticut,"36,05,944","4,842"
29,Utah,"32,71,616","82,170"
30,Iowa,"31,90,369","55,857"
31,Nevada,"31,04,614","1,09,781"
32,Arkansas,"30,11,524","52,035"
33,Mississippi,"29,61,279","46,923"
34,Kansas,"29,37,880","81,759"
35,New Mexico,"21,17,522","1,21,298"
36,Nebraska,"19,61,504","76,824"
37,Idaho,"18,39,106","82,643"
38,West Virginia,"17,93,716","24,038"
39,Hawaii,"14,55,271","6,423"
40,New Hampshire,"13,77,529","8,953"
41,Maine,"13,62,359","30,843"
42,Rhode Island,"10,97,379","1,034"
43,Montana,"10,84,225","1,45,546"
44,Delaware,"9,89,948","1,949"
45,South Dakota,"8,86,667","75,811"
46,North Dakota,"7,79,094","69,001"
47,Alaska,"7,33,391","5,70,641"
48,Vermont,"6,43,077","9,217"
49,Wyoming,"5,76,851","97,093"
