,State,State Sales Tax Rate,Rank,Avg. Local Sales Tax Rate (a),Combined Sales Tax Rate,Rank1,Max Local Sales Tax Rate
0,Alabama,4.00%,40,5.22%,9.22%,5,7.50%
1,Alaska,0.00%,46,1.76%,1.76%,46,7.50%
2,Arizona,5.60%,28,2.80%,8.40%,11,5.60%
3,Arkansas,6.50%,9,3.01%,9.51%,3,5.125%
4,California (b),7.25%,1,1.43%,8.68%,9,2.50%
5,Colorado,2.90%,45,4.82%,7.72%,16,8.30%
6,Connecticut,6.35%,12,0.00%,6.35%,33,0.00%
7,Delaware,0.00%,46,0.00%,0.00%,47,0.00%
8,D.C.,6.00%,(17),0.00%,6.00%,(38),0.00%
9,Florida,6.00%,17,1.08%,7.08%,22,2.50%
10,Georgia,4.00%,40,3.32%,7.32%,19,4.90%
11,Hawaii (c),4.00%,40,0.44%,4.44%,45,0.50%
12,Idaho,6.00%,17,0.03%,6.03%,37,3.00%
13,Illinois,6.25%,13,2.57%,8.82%,7,9.75%
14,Indiana,7.00%,2,0.00%,7.00%,24,0.00%
15,Iowa,6.00%,17,0.94%,6.94%,28,1.00%
16,Kansas,6.50%,9,2.19%,8.69%,8,4.00%
17,Kentucky,6.00%,17,0.00%,6.00%,38,0.00%
18,Louisiana,4.45%,38,5.07%,9.52%,2,7.00%
19,Maine,5.50%,29,0.00%,5.50%,42,0.00%
20,Maryland,6.00%,17,0.00%,6.00%,38,0.00%
21,Massachusetts,6.25%,13,0.00%,6.25%,35,0.00%
22,Michigan,6.00%,17,0.00%,6.00%,38,0.00%
23,Minnesota,6.875%,6,0.59%,7.46%,17,2.00%
24,Mississippi,7.00%,2,0.07%,7.07%,23,1.00%
25,Missouri,4.225%,39,4.03%,8.25%,12,5.763%
26,Montana (d),0.00%,46,0.00%,0.00%,47,0.00%
27,Nebraska,5.50%,29,1.44%,6.94%,29,2.50%
28,Nevada,6.85%,7,1.38%,8.23%,13,1.53%
29,New Hampshire,0.00%,46,0.00%,0.00%,47,0.00%
30,New Jersey (e),6.625%,8,-0.03%,6.60%,30,3.313%
31,New Mexico (c),5.125%,32,2.71%,7.83%,15,4.313%
32,New York,4.00%,40,4.52%,8.52%,10,4.875%
33,North Carolina,4.75%,35,2.23%,6.98%,26,2.75%
34,North Dakota,5.00%,33,1.96%,6.96%,27,3.50%
35,Ohio,5.75%,27,1.48%,7.23%,20,2.25%
36,Oklahoma,4.50%,36,4.45%,8.95%,6,7.00%
37,Oregon,0.00%,46,0.00%,0.00%,47,0.00%
38,Pennsylvania,6.00%,17,0.34%,6.34%,34,2.00%
39,Rhode Island,7.00%,2,0.00%,7.00%,24,0.00%
40,South Carolina,6.00%,17,1.46%,7.46%,18,3.00%
41,South Dakota (c),4.50%,36,1.90%,6.40%,32,4.50%
42,Tennessee,7.00%,2,2.55%,9.55%,1,2.75%
43,Texas,6.25%,13,1.94%,8.19%,14,2.00%
44,Utah (b),6.10%,16,1.09%,7.19%,21,2.95%
45,Vermont,6.00%,17,0.24%,6.24%,36,1.00%
46,Virginia (b),5.30%,31,0.43%,5.73%,41,0.70%
47,Washington,6.50%,9,2.73%,9.23%,4,4.00%
48,West Virginia,6.00%,17,0.50%,6.50%,31,1.00%
49,Wisconsin,5.00%,33,0.43%,5.43%,43,1.75%
50,Wyoming,4.00%,40,1.33%,5.33%,44,2.00%
